overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
1,,PEDRO,RADINOVSKY,,1.21.30,1.21.30,,,ARG,,,,
2,,SANTIAGO,BELTRAN,,1.22.13,1.22.13,,,ARG,,,,
3,,CRISTIAN,CARLETTO,,1.23.02,1.23.02,,,ARG,,,,
4,,AGUSTIN,LEIRO,,1.23.12,1.23.12,,,ARG,,,,
5,,GUSTAVO,LEON,,1.24.02,1.24.02,,,ARG,,,,
6,,Daniel,Mollo,,1.24.50,1.24.50,,,ARG,,,,
7,,MADER NAPOLINI,ECHEVERRI,,1.25.10,1.25.10,,,ARG,,,,
8,,MARTIN,SPARANO,,1.25.18,1.25.18,,,ARG,,,,
9,,NAHUEL,ALDAPE,,1.25.44,1.25.44,,,ARG,,,,
10,,JULIAN,FERMANI,,1.26.00,1.26.00,,,ARG,,,,
11,,DARIO,CAPELETTI,,1.26.15,1.26.15,,,ARG,,,,
12,,SEBASTIAN,LAVECCIA,,1.26.36,1.26.36,,,ARG,,,,
13,,NICOLAS,ROSENBAUN,,1.27.30,1.27.30,,,ARG,,,,
14,,FABRIZIO,SILVA,,1.28.03,1.28.03,,,ARG,,,,
15,,PABLO,GUTIERREZ,,1.28.14,1.28.14,,,ARG,,,,
16,,GUSTAVO,PERRI,,1.28.50,1.28.50,,,ARG,,,,
17,,DAVID,LAMARCA,,1.29.26,1.29.26,,,ARG,,,,
18,,Hernan,Gallo,,1.29.41,1.29.41,,,ARG,,,,
19,,Lautaro Javier,Carrizo,,1.29.45,1.29.45,,,ARG,,,,
20,,NICOLAS,ROMANO,,1.30.09,1.30.09,,,ARG,,,,
21,,SEBASTIAN,ARKANIAN,,1.30.11,1.30.11,,,ARG,,,,
22,,Smith Lucas,Gonzalez,,1.30.30,1.30.30,,,ARG,,,,
23,,Silvio Gabriel,Carrizo,,1.30.35,1.30.35,,,ARG,,,,
24,,RODRIGO,MAÑAS,,1.31.02,1.31.02,,,ARG,,,,
25,,HERNAN,VICENTE,,1.31.13,1.31.13,,,ARG,,,,
26,,MIGUEL,PAVONI,,1.31.23,1.31.23,,,ARG,,,,
27,,VICTOR,Diaz,,1.32.15,1.32.15,,,ARG,,,,
28,,NICOLAS,GONZALEZ,,1.32.20,1.32.20,,,ARG,,,,
29,,Santiago,Malvestiti,,1.32.59,1.32.59,,,ARG,,,,
30,,ANDRES,SALGADO,,1.33.00,1.33.00,,,ARG,,,,
31,,Gaston,Yudice,,1.33.18,1.33.18,,,ARG,,,,
32,,ENRIQUE,GONZALEZ,,1.33.26,1.33.26,,,ARG,,,,
33,,ARIEL,ARAUJO,,1.33.38,1.33.38,,,ARG,,,,
34,,VERÓNICA,ORTEGA,,1.33.52,1.33.52,,,ARG,,,,
35,,MORENO DIEGO,DIAZ,,1.34.02,1.34.02,,,ARG,,,,
36,,Andres,Roman,,1.35.20,1.35.20,,,ARG,,,,
37,,NICOLAS,TOLEDO,,1.35.25,1.35.25,,,ARG,,,,
38,,MARIANO,SZAFOWAL,,1.35.35,1.35.35,,,ARG,,,,
39,,Pablo,Fortunato,,1.35.50,1.35.50,,,ARG,,,,
40,,MENDOZA/CORNES,MORRONE,,1.35.55,1.35.55,,,ARG,,,,
41,,Ariel,Bender,,1.36.21,1.36.21,,,ARG,,,,
42,,NICOLAS,SECCIO,,1.36.22,1.36.22,,,ARG,,,,
43,,GERONIMO,PARODI,,1.37.05,1.37.05,,,ARG,,,,
44,,JOSE,PICCIRILO,,1.37.07,1.37.07,,,ARG,,,,
45,,GABRIEL,CARNIP,,1.37.10,1.37.10,,,ARG,,,,
46,,ELIO,PELOSO,,1.37.15,1.37.15,,,ARG,,,,
47,,ARIEL,GODOY,,1.37.25,1.37.25,,,ARG,,,,
48,,CAROLINA,CARDOZO,,1.37.31,1.37.31,,,ARG,,,,
49,,MARIANO,MARTINEZ,,1.37.44,1.37.44,,,ARG,,,,
50,,CECILIA,CAILLABET,,1.38.00,1.38.00,,,ARG,,,,
51,,LUCAS,FITTIPALDI,,1.38.11,1.38.11,,,ARG,,,,
52,,PAUNERO,BACA,,1.38.28,1.38.28,,,ARG,,,,
53,,CECILIA,ALMADA,,1.38.30,1.38.30,,,ARG,,,,
54,,JUAN,LOPEZ,,1.38.32,1.38.32,,,ARG,,,,
