overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
1,1 / 81,Sanchez Sañudo Fernando,,25-29 M,00:33:56,00:33:56,,194,,,,,
2,1 / 77,Castillo Jorge Ariel,,30-34 M,00:34:39,00:34:39,,272,,,,,
3,1 / 70,Santoro Diego,,35-39 M,00:34:43,00:34:43,,517,,,,,
4,2 / 81,Gabriel Bouret,,25-29 M,00:34:59,00:34:58,,453,,,,,
5,2 / 70,Marcovecchio Sebastian,,35-39 M,00:35:00,00:34:58,,649,,,,,
6,1 / 27,Maria Laura Garcete,,25-29 F,00:38:09,00:38:08,,1484,,,,,
7,1 / 47,Martinez Ezequiel,,18-24 M,00:38:19,00:38:14,,1310,,,,,
8,3 / 70,Maldonado Cristian,,35-39 M,00:38:44,00:38:42,,728,,,,,
9,2 / 77,Javier Oubiña,,30-34 M,00:38:52,00:38:50,,585,,,,,
10,1 / 27,Fabian Giraldez,,50-54 M,00:39:04,00:39:03,,373,,,,,
11,3 / 77,Adriel Choque,,30-34 M,00:39:11,00:39:10,,1194,,,,,
12,3 / 81,Manay Gustavo,,25-29 M,00:39:11,00:39:10,,654,,,,,
13,1 / 53,Garcia Santiago,,45-49 M,00:39:16,00:39:15,,744,,,,,
14,1 / 68,Santiago Rovira,,40-44 M,00:39:19,00:39:19,,151,,,,,
15,4 / 70,Ariel Maximiliano Bertoldi,,35-39 M,00:39:26,00:39:21,,57,,,,,
16,4 / 81,Vázquez Matías,,25-29 M,00:39:28,00:39:27,,860,,,,,
17,1 / 26,Franco Ricardo,,55-59 M,00:39:36,00:39:31,,1255,,,,,
18,5 / 70,Garcia Mariano,,35-39 M,00:39:41,00:39:40,,1346,,,,,
19,2 / 27,Pañella Daniel,,50-54 M,00:39:51,00:39:50,,872,,,,,
20,1 / 39,Saun Marina,,35-39 F,00:39:55,00:39:53,,262,,,,,
21,6 / 70,Salvador Leandro,,35-39 M,00:40:03,00:40:00,,269,,,,,
22,4 / 77,Iannello Gustavo,,30-34 M,00:40:21,00:40:13,,663,,,,,
23,2 / 27,Martinez Sabrina Gabriela,,25-29 F,00:40:29,00:40:27,,274,,,,,
24,2 / 53,Nestor Omar Mendella,,45-49 M,00:40:50,00:40:47,,602,,,,,
25,5 / 81,Borthagaray Juan Pablo,,25-29 M,00:41:02,00:40:50,,486,,,,,
26,2 / 68,Saravia Federico,,40-44 M,00:41:07,00:41:00,,1345,,,,,
27,7 / 70,Finelli Fernando,,35-39 M,00:41:15,00:41:13,,666,,,,,
28,3 / 53,Daniel Gustavo Accomazzo,,45-49 M,00:41:18,00:41:15,,606,,,,,
29,8 / 70,Emanuel Rodriguez,,35-39 M,00:41:22,00:41:19,,412,,,,,
30,9 / 70,Viero Ezequiel,,35-39 M,00:41:40,00:41:29,,263,,,,,
31,4 / 53,Gabriel De Aracil,,45-49 M,00:41:32,00:41:30,,54,,,,,
32,5 / 77,Wigand César Alberto,,30-34 M,00:41:54,00:41:51,,692,,,,,
33,5 / 53,Cladera Juan José,,45-49 M,00:41:55,00:41:54,,1110,,,,,
34,10 / 70,Maiz Enrique,,35-39 M,00:42:08,00:41:57,,191,,,,,
35,1 / 1,FEDERICO TROSTDORF,,20-24 M,00:42:11,00:42:10,,468,,,,,
36,3 / 68,Perez Martin Federico,,40-44 M,00:42:18,00:42:16,,544,,,,,
37,6 / 81,Garcia Norberto,,25-29 M,00:42:28,00:42:16,,803,,,,,
38,2 / 47,Maximiliano Arcangel Juarez,,18-24 M,00:42:18,00:42:17,,77,,,,,
39,7 / 81,Ollier Benjamin,,25-29 M,00:42:21,00:42:18,,1168,,,,,
40,8 / 81,Weber Matias,,25-29 M,00:42:28,00:42:18,,1341,,,,,
41,4 / 68,Avalos Christian,,40-44 M,00:42:29,00:42:21,,1200,,,,,
42,9 / 81,Jose Antonio Aranda,,25-29 M,00:42:36,00:42:34,,367,,,,,
43,3 / 47,Rodrigo Daniel Lopez,,18-24 M,00:43:26,00:42:47,,109,,,,,
44,- / 32,Carlos Flamenco,,0-0 M,00:42:54,00:42:52,,856,,,,,
45,5 / 68,Romero Daniel Omar,,40-44 M,00:42:56,00:42:54,,680,,,,,
46,6 / 53,Pando Andrés Federico,,45-49 M,00:43:12,00:43:08,,1330,,,,,
47,6 / 68,De Mercedes Hector Cristian,,40-44 M,00:43:22,00:43:08,,814,,,,,
48,6 / 77,Matias Defilippe,,30-34 M,00:43:10,00:43:09,,1,,,,,
49,3 / 27,Alberto Balsi,,50-54 M,00:43:18,00:43:15,,134,,,,,
50,11 / 70,Gaston Lopez Emiliano,,35-39 M,00:43:47,00:43:20,,822,,,,,
51,1 / 38,Maite Loreley Belza,,40-44 F,00:43:52,00:43:26,,291,,,,,
52,7 / 77,Crozza Leandro,,30-34 M,00:43:38,00:43:28,,1148,,,,,
53,8 / 77,Cueva Alejandro,,30-34 M,00:43:59,00:43:32,,781,,,,,
54,9 / 77,Rene Alejandro Ortiz,,30-34 M,00:43:42,00:43:35,,128,,,,,
55,10 / 81,Pablo Simon,,25-29 M,00:44:11,00:43:41,,875,,,,,
56,2 / 39,Gabriela Muiña,,35-39 F,00:43:44,00:43:43,,336,,,,,
57,7 / 53,Silvio Lamonica,,45-49 M,00:43:59,00:43:48,,60,,,,,
58,4 / 47,Bustamante Alarcon Ezequiel Ivan,,18-24 M,00:43:54,00:43:50,,543,,,,,
59,7 / 68,Fraquelli Carlos,,40-44 M,00:44:06,00:43:55,,725,,,,,
60,5 / 47,Mauricio Hernan Medina,,18-24 M,00:44:04,00:43:56,,855,,,,,
61,- / 32,Unknown,,0-0 M,00:44:20,00:43:56,,1220,,,,,
62,11 / 81,Hidalgo Luciano,,25-29 M,00:44:30,00:43:59,,802,,,,,
63,12 / 81,Araya Diego,,25-29 M,00:44:09,00:44:01,,1141,,,,,
64,8 / 68,Heuman Pablo,,40-44 M,00:44:10,00:44:07,,810,,,,,
65,12 / 70,Callone Santiago,,35-39 M,00:44:14,00:44:07,,1318,,,,,
66,2 / 38,Speranza Silvana,,40-44 F,00:44:09,00:44:08,,244,,,,,
67,13 / 81,Edgar Cueva Ferreira,,25-29 M,00:44:21,00:44:13,,174,,,,,
68,8 / 53,Silvio Amodio,,45-49 M,00:44:22,00:44:14,,136,,,,,
69,13 / 70,Diego Ariel Rondona,,35-39 M,00:44:20,00:44:16,,137,,,,,
70,14 / 81,Ciarlo Damian,,25-29 M,00:45:03,00:44:24,,863,,,,,
71,9 / 68,Jose Chafranski,,40-44 M,00:44:29,00:44:26,,873,,,,,
72,3 / 39,Luisa Korn,,35-39 F,00:44:39,00:44:27,,31,,,,,
73,10 / 77,Almiron Lucas,,30-34 M,00:44:35,00:44:33,,235,,,,,
